,B Cells,Blood Cells,CM1,CM2,CM3,CM4,CM5,EC,EPI,EndoEC,FB,Glial,Macrophage,Pericyte/SMC,T cells
0610009B22Rik,0.02203953,0.010500842,0.07644128,0.1573061,0.098662466,0.2180751,0.06579519,0.06744597,0.3588502,0.1155847,0.130257,0.054322667,0.080545396,0.061698075,0.07476856
0610009L18Rik,0.015439228,0.018510893,0.06451661,0.103183895,0.05292748,0.06602563,0.06801518,0.0129466355,0.040855274,0.021573924,0.031604234,0.08610316,0.021541473,0.029812152,0.026555685
0610010F05Rik,0.04283073,0.022781817,0.019803142,0.24510573,0.043468792,0.0057955757,0.10515516,0.06888392,0.20070173,0.13416089,0.08774556,0.067742296,0.076540396,0.055035822,0.085456885
0610010K14Rik,0.012308726,0.008610396,0.00020459843,0.0034100702,0.0017422135,0.0011550079,0.0017720916,0.042431694,0.032542787,0.008405921,0.013102205,0.048632983,0.0015228529,0.0014463044,0.014653012
0610012G03Rik,0.13688073,0.12353318,0.4947387,0.7433855,0.6115087,1.485,0.41068003,0.49623317,1.1041869,0.5951262,0.6194451,0.2427819,0.7094883,0.2858255,0.37978292
0610030E20Rik,0.055481944,0.012122032,0.02373659,0.09539375,0.065933794,0.009035009,0.09852174,0.044007573,0.18935823,0.053443108,0.099642515,0.08644914,0.07938367,0.06019371,0.05064964
1010001N08Rik,0.0065506618,0.009562873,0.11092089,0.15192993,0.16606857,0.0062791193,0.046865955,0.011525223,0.10938632,0.03406333,0.025742322,0.021383636,0.0023001619,0.0057335547,0.016422013
1110002E22Rik,0.006467129,0.003123359,0.19302483,0.3682726,0.26633754,0.9065924,1.1029878,0.0024147744,0.00814691,0.005658735,0.003920103,0.025592536,0.0020768724,0.0021729986,0.0061610597
1110004F10Rik,0.07177577,0.013400301,0.27420983,0.36901358,0.3618389,0.6676244,0.3084834,0.27615315,1.3520966,0.53808004,0.61375594,0.2059896,0.41459498,0.24152745,0.3720452
1110008P14Rik,0.021160213,0.018679395,0.09289559,0.077383764,0.14075273,0.43518794,0.09862994,0.062950954,0.5623291,0.10922845,0.19823945,0.16754809,0.19033779,0.059641168,0.06790676
1110012L19Rik,0.024468433,0.009511065,0.012987688,0.008237502,0.021613507,0.07949226,0.018324003,0.026174575,0.21649855,0.064775296,0.058289785,0.04337868,0.035047486,0.021761836,0.04395067
1110019D14Rik,0.0073193912,0.0041706744,0.13854416,0.1864542,0.18732177,0.004002113,0.1373334,0.010852735,0.06790694,0.018322911,0.021555005,0.02654215,0.030468117,0.007185684,0.005971374
1110032A03Rik,0.02721726,0.01645163,0.01745812,0.050648108,0.0319947,0.036476288,0.017989691,0.03484901,0.11988763,0.06726799,0.066153005,0.15892409,0.04954254,0.034114156,0.05452237
1110032F04Rik,0.007548651,0.0061312355,0.00085303053,0.008252207,0.0031762242,0.00713739,0.0039085634,0.0013125872,0.028476248,0.24569657,0.026725544,0.034037206,0.00092865987,0.0019050257,0.00644495
1110038F14Rik,0.070817724,0.062227212,0.07509695,0.124576084,0.082228646,0.1170655,0.12531623,0.18172039,0.40139857,0.1955032,0.22621346,0.15078852,0.11254618,0.11991316,0.14168374
1110051M20Rik,0.02411662,0.0063073025,0.018248452,0.074705034,0.08518609,0.0027107748,0.047759388,0.018034175,0.22388294,0.07837142,0.08881752,0.044693697,0.037539802,0.028984565,0.058417317
1110059E24Rik,0.18531534,0.066182524,0.10669987,0.3414616,0.16152579,0.043772478,0.12611,0.18212642,0.43334672,0.27261698,0.25051942,0.08339204,0.15266788,0.18728279,0.16606216
1110059G10Rik,0.025958184,0.010166905,0.04699371,0.080951855,0.07182809,0.16321361,0.048347186,0.08351279,0.26238862,0.11048572,0.09174339,0.066765696,0.08168474,0.05335774,0.02970777
1110065P20Rik,0.011659598,0.009455521,0.07522385,0.09119613,0.09718225,0.30390128,0.079657726,0.057283256,0.80187774,0.16440257,0.37383795,0.27662465,0.11604662,0.11249459,0.087637804
1300002E11Rik,0.017029887,0.016090846,0.0345855,0.04322176,0.0324253,0.0680498,0.019839508,0.0663362,0.09202853,0.08905107,0.06885566,0.12341774,0.027504398,0.055131204,0.026952658
1500009L16Rik,0.024951445,0.011477638,0.11275819,0.21305034,0.14056647,0.26287305,0.19566521,0.028981091,0.11612688,0.052905034,0.43135667,0.20152475,0.055019405,0.19577636,0.11609769
1500011B03Rik,0.01858201,0.015093791,0.008697568,0.022622736,0.00840023,0.016910361,0.0060214605,0.029127354,0.13434926,0.081165925,0.034192998,0.025173988,0.044344485,0.031031942,0.12289763
1500015A07Rik,0.15154068,0.01941229,0.040685747,0.0909165,0.05698225,0.017296512,0.06351351,0.028183028,0.10708067,0.048297822,0.078717306,0.035585053,0.08162422,0.040140107,0.12507904
1600002K03Rik,0.036761418,0.014131016,0.07946696,0.113701135,0.100964285,0.019478183,0.087104104,0.031166848,0.19534315,0.07205149,0.075053096,0.022939911,0.096956335,0.023271484,0.075129256
1600010M07Rik,0.032216005,0.010195718,0.025751416,0.9395643,0.15999852,0.002434835,0.2858588,0.002867812,0.020546015,0.005031266,0.005695621,0.020664003,0.096661314,0.0032587687,0.01612195
1600012H06Rik,0.022661144,0.029083744,0.0071182693,0.028699696,0.021116305,0.047645237,0.028834684,0.076982096,0.6340532,0.14619362,0.13366826,0.08404509,0.07956855,0.056624606,0.033970103
1600014C10Rik,0.054226622,0.009704418,0.07850204,0.08235516,0.09843865,0.048568144,0.04694001,0.024499167,0.13931732,0.04833798,0.04881961,0.04802559,0.41159478,0.026750414,0.08400346
1600020E01Rik,0.09353595,0.13235523,0.06393832,0.19973402,0.11753603,0.0034741766,0.1842931,0.10067955,0.17896418,0.1014904,0.09023381,0.13475592,0.092351705,0.057858597,0.118271716
1700003F12Rik,0.013236528,0.00663928,0.004397977,0.022421673,0.004202959,0.0041455524,0.0068329656,0.005094192,0.028399356,0.008282302,0.03270147,0.039436553,0.034850564,0.016532842,0.011165792
1700016D06Rik,0.006405297,0.0036622859,0.0015914679,0.07311429,0.013764175,1.8175116,0.015799467,0.0005525229,0.008192037,0.0057185665,0.0010714913,0.027417885,0.00085407024,0.0012518683,0.00630679
1700017B05Rik,0.08206753,0.029701676,0.0027155783,0.02012157,0.0060764593,0.03596597,0.009226518,0.02978643,0.17463025,0.041691698,0.053366527,0.022630155,0.1665069,0.032433983,0.0855419
1700021F05Rik,0.041272625,0.02857233,0.104761176,0.16934706,0.19929054,0.629634,0.07009864,0.06450279,0.32657778,0.08289296,0.15610243,0.08826572,0.1166261,0.10021756,0.08243058
1700025G04Rik,0.03119705,0.05776839,0.06608377,0.48321676,0.12009203,0.00728658,0.69687206,0.24151178,0.5531012,0.11592989,0.25996056,0.29131445,0.09099822,0.14421205,0.12567915
1700028I16Rik,0.0133213075,0.005682453,0.0005007576,0.0066029644,0.0015158135,0.0023271388,0.0020287815,0.00010015624,0.0015668271,0.001642056,0.00011281107,0.11109101,0.0011497651,0.00036188375,0.0173756
1700030K09Rik,0.006323663,0.005833106,0.057481926,0.1565686,0.023722878,0.0019194904,0.053339332,0.00905146,0.026523335,0.018120578,0.015799753,0.019488102,0.007210462,0.0053480472,0.016342906
1700034P13Rik,0.026696583,0.014270793,0.0017031392,0.058927994,0.008353104,0.00470636,0.019047007,0.00037541022,0.003306855,0.002656999,0.0007147068,0.2665014,0.0026112827,0.0011608723,0.034232523
1700037H04Rik,0.046748213,0.0578265,0.017301915,0.04081982,0.019119833,0.09827676,0.016233804,0.014101336,0.21558917,0.059252955,0.08281278,0.03795391,0.093951456,0.030788122,0.14439394
1700042O10Rik,0.00789822,0.0040258993,0.005295629,1.9178737,12.063966,0.010675562,0.33907676,0.00036508107,0.005143819,0.003384279,0.0013651405,0.046434753,0.000852836,0.000900422,0.006974239
1700047M11Rik,0.008582669,0.004506346,0.0005266487,0.0055073425,0.0014890316,0.0021980929,0.0018458134,0.0008477348,0.006253668,0.0022423607,0.006935766,0.22767247,0.04129904,0.0008318039,0.008539584
1700060O08Rik,0.020214142,0.006665753,0.0005474,0.003792216,0.0025948312,0.001454055,0.016371902,0.00013561155,0.0018230828,0.0021485393,0.0001050798,0.17361522,0.00031386572,0.00034749592,0.021807149
1700064J06Rik,0.058770563,0.010247336,0.0007533379,0.003915905,0.0026805801,0.0022992117,0.0021428997,0.000117145166,0.008590899,0.0022070727,0.00013429506,0.35645413,0.00057950686,0.0003686901,0.043550637
1700080O16Rik,0.012269379,0.0044381693,0.00021273897,0.0033094287,0.0013284837,0.001331444,0.0017188847,0.0001943578,0.012563515,0.0014603081,0.00014952669,0.072585456,0.00025017603,0.0003379604,0.008673348
1700093K21Rik,0.035914574,0.006409002,0.00043968853,0.008997347,0.0038449436,0.0013183262,0.004366519,0.006724667,0.030177584,0.043357477,0.065802805,0.07142551,0.0012740502,0.0019946392,0.07303511
1700097N02Rik,0.06609681,0.003850091,0.0003622582,0.0030806183,0.0023166968,0.0030579618,0.0017804977,0.007176257,0.0046728877,0.0051711174,0.00031960316,0.079464994,0.004973536,0.0007115052,0.26841626
1700123O20Rik,0.08095655,0.011769718,0.041050594,0.06521891,0.050226416,0.1338694,0.065732315,0.07273634,0.39164236,0.10358815,0.12591043,0.0820077,0.10446125,0.04014906,0.120287426
1810006J02Rik,0.0100169,0.008294023,0.00054239284,0.0034632324,0.0028819945,0.005184492,0.006239556,0.01706271,0.0014116851,0.0013959107,0.00097592664,0.13031957,0.002074484,0.0010621841,0.009218331
1810007D17Rik,0.046766657,0.009429545,0.014095314,0.026947256,0.0062185754,0.0025644114,0.0671315,0.00013349201,0.0027598322,0.002444787,0.00013361077,0.43579865,0.0003962593,0.0004006443,0.03185246
1810013L24Rik,0.054997172,0.03200836,0.09147922,0.08802623,0.13721,0.5372122,0.29595438,0.06831808,0.1973099,0.09642038,0.0953143,0.06602152,0.24895091,0.040627792,0.14114204
1810030O07Rik,0.038547568,0.013102685,0.042627953,0.107235216,0.051740255,0.074568175,0.068321146,0.049159378,0.18041722,0.09928531,0.09388962,0.087562196,0.08216362,0.050937217,0.082749926
1810034E14Rik,0.0063821524,0.0031499371,0.101905264,0.19534263,0.20935501,0.0018201241,0.049988504,0.0008494495,0.008551496,0.007336703,0.00395281,0.022162069,0.004479117,0.0013839054,0.0058403956
1810037I17Rik,0.036114857,0.026124476,0.31388894,0.70643365,0.3499304,1.5321943,0.373527,0.62467545,3.7338483,0.88104284,0.74829495,0.44725305,0.8399608,0.4450372,0.44171748
1810055G02Rik,0.0063864375,0.009692965,0.009801026,0.029927844,0.006288135,0.038027816,0.043895602,0.015722588,0.32360116,0.08341763,0.20464435,0.07089798,0.05155525,0.045288622,0.06679387
1810058I24Rik,0.054244384,0.5817822,0.30899376,0.4818817,0.36569363,1.6158636,0.34077367,0.34739453,1.9267046,0.61731565,0.9372568,0.21799994,0.6856978,0.26867732,0.41109776
2010109A12Rik,0.021149594,0.0073446548,0.030480305,0.016655432,0.032602344,0.0018231912,0.018214114,0.023620715,0.014973121,0.02017889,0.049771447,0.045621175,0.048456576,0.008923805,0.064375155
2010315B03Rik,0.006656591,0.0034076474,0.017051106,0.067964695,0.041302837,0.0074064173,0.016476475,0.017208451,0.0593557,0.028856218,0.023040488,0.020468753,0.0315881,0.01446524,0.022114918
2010320M18Rik,0.010437799,0.011126203,0.059041686,0.0891912,0.07627532,0.19034594,0.06688045,0.053731743,0.29722932,0.07101914,0.11084552,0.08097551,0.060153484,0.057526037,0.05602793
2200002D01Rik,0.008500958,0.005211482,0.019307418,0.04045368,0.03241219,0.13969249,0.09384968,0.048054766,0.6584664,0.12945189,0.03622984,0.07613399,0.016545987,0.104142964,0.024611324
2210016F16Rik,0.039499246,0.023854429,0.07578315,0.12201541,0.109825015,0.23631491,0.070416115,0.07251539,0.63847804,0.14222404,0.21173626,0.055616803,0.2167975,0.11886194,0.10259719
2210016L21Rik,0.026042238,0.01712232,0.07394492,0.1415031,0.08178276,0.14898317,0.097295105,0.124909915,0.4259114,0.17738251,0.15440956,0.21856867,0.12101598,0.08312216,0.07201304
2210407C18Rik,0.010758511,0.0046254746,0.00056111364,0.0034333062,0.0014124139,0.0021297527,0.004549681,0.00018291637,0.0024330886,0.0041576475,0.00022888495,0.15033019,0.00029569428,0.015107005,0.011092115
2210408I21Rik,0.012781219,0.009906075,0.013319682,0.19744128,0.09254395,0.0025252784,0.038749106,0.010288895,0.04266471,0.01484181,0.016350022,0.024450062,0.0072834827,0.011588162,0.017018918
2300009A05Rik,0.04751174,0.031600475,0.20502864,0.34292707,0.23018648,0.3177603,0.10128019,0.0801282,0.22715779,0.09000658,0.08988123,0.045025393,0.09848802,0.07134957,0.060893394
2310009B15Rik,0.010369261,0.0068614506,0.06754587,0.09816535,0.08371884,0.13773367,0.054219123,0.065879785,0.50745785,0.15544468,0.185547,0.11362004,0.07180436,0.05551447,0.06888314
2310011J03Rik,0.0293976,0.007667238,0.072833,0.11142643,0.10406436,0.22854023,0.113095224,0.12265911,0.5943681,0.16770759,0.2062149,0.115047306,0.24705885,0.07692741,0.09231045
2310015A10Rik,0.028547272,0.014482265,0.07129767,0.0960073,0.10073813,0.08298001,0.062659636,0.018190954,0.050813265,0.03368869,0.025667502,0.06437513,0.028532365,0.016991397,0.00969753
2310022A10Rik,0.029657809,0.012084406,0.2037768,0.18557414,0.26219553,0.12630302,0.24532324,0.02141368,0.06963472,0.033633683,0.03523874,0.02731806,0.09997487,0.023182109,0.032330304
2310022B05Rik,0.024476448,0.0649583,0.12605952,0.23684448,0.19067012,0.769333,0.18647523,0.12877294,0.66745216,0.15898629,0.3710079,0.06322814,0.06646097,0.23065071,0.07796686
2310030G06Rik,0.011732973,0.0035890453,0.0237371,0.06067883,0.03453601,0.031569727,0.05418546,0.0019208444,0.32646546,0.003197751,0.016158326,0.06967,0.0055550067,0.012507357,0.0066746096
2310033P09Rik,0.05952222,0.02409088,0.054595016,0.09731015,0.073205754,0.08709572,0.044767745,0.13512424,0.3355356,0.15819967,0.11715111,0.177778,0.08979698,0.06548933,0.10702909
2310039H08Rik,0.014117928,0.004554473,0.0001859366,0.0031659037,0.0016067608,0.0013108648,0.0016843588,0.000763236,0.37747207,0.0070175417,0.1956278,0.04008824,0.017781889,0.018129636,0.13394636
2310040G24Rik,0.0061080125,0.019310374,0.04658298,0.043987203,0.06972449,0.14136322,0.009319149,0.04456522,0.026849583,0.021670664,0.010854196,0.023892535,0.03942484,0.013410391,0.0061855908
2310061I04Rik,0.029159587,0.021640874,0.12237607,0.19770513,0.17385942,0.32750198,0.09626367,0.04492342,0.15694293,0.09667233,0.0571026,0.022750683,0.057416707,0.03418627,0.054871503
2410002F23Rik,0.10332672,0.027154887,0.043705784,0.06492365,0.04910527,0.038363937,0.10678272,0.09416064,0.34732026,0.13635682,0.1968829,0.17484589,0.09125173,0.075478256,0.11842733
2410004B18Rik,0.07299979,0.028067952,0.08926115,0.11483951,0.08474498,0.266927,0.10029451,0.13519998,0.37419787,0.14280343,0.17384782,0.033454444,0.100849785,0.07283147,0.046471428
2500002B13Rik,0.011433541,0.022626055,0.08628684,0.16265763,0.11140477,0.04497995,0.13010825,0.033772428,0.045847587,0.01662557,0.0057377783,0.10156585,0.028655205,0.0051774913,0.021889778
2510002D24Rik,0.035435583,0.007772571,0.00039118444,0.0031394106,0.001564285,0.0012232137,0.0017609545,0.04406749,0.286692,0.022005614,0.0031844862,0.030434456,0.00243241,0.0010146135,0.07221394
2510009E07Rik,0.012117284,0.01684284,0.027605899,0.08051026,0.071299,0.02989217,0.014771361,0.059849087,0.07626178,0.09127266,0.07049409,0.022251863,0.13619034,0.029912442,0.015577074
2510039O18Rik,0.049287077,0.023257766,0.0075432328,0.03761169,0.025043122,0.16343303,0.068927,0.11033931,0.23970638,0.15289764,0.108371526,0.088422306,0.13229336,0.058565613,0.09755572
2610001J05Rik,0.06299422,0.015969673,0.2188609,0.33575332,0.2831038,0.7217716,0.28134248,0.26466125,0.98249745,0.51474136,0.5032476,0.2850076,0.66976124,0.27794698,0.13374352
2610002M06Rik,0.03722583,0.021752404,0.028465502,0.048029266,0.031262264,0.102725916,0.047166377,0.05406437,0.22006582,0.06871876,0.08687961,0.037003342,0.059280574,0.039607927,0.07832022
2610008E11Rik,0.0061184745,0.009285713,0.06208016,0.14551552,0.101844855,0.0028580655,0.013620505,0.01177747,0.043186516,0.03096359,0.014881881,0.044603325,0.0029810122,0.0072004795,0.005621462
2610037D02Rik,0.15282771,0.043664053,0.28714257,0.61767495,0.36073157,0.0021615508,0.42964435,0.11366157,0.13013415,0.1726959,0.1276217,0.10678447,0.060496062,0.060808796,0.16264382
2610044O15Rik8,0.0273831,0.014580734,0.05377324,0.113083966,0.08206699,0.02399486,0.029637866,0.043916162,0.08791801,0.0733851,0.05843901,0.10914522,0.02737018,0.036562935,0.0214887
2610301B20Rik,0.031351797,0.0071517173,0.039852936,0.0774843,0.054033466,0.05121761,0.04861803,0.041265294,0.1878027,0.09205635,0.09596091,0.024669962,0.031521693,0.045329373,0.05801987
2610507B11Rik,0.03581684,0.043561336,0.05273435,0.18135211,0.09134827,0.38869765,0.030566026,0.12670162,0.30105314,0.15169874,0.11649797,0.04122935,0.13475579,0.07832742,0.05681899
2700038G22Rik,0.17650864,0.012817134,0.09599085,0.21208738,0.12934826,0.0030457566,0.13632393,0.040195696,0.08711139,0.041831125,0.05982008,0.04524864,0.031632733,0.029918833,0.16290301
2700049A03Rik,0.06168693,0.009092165,0.057827253,0.6144975,0.1361442,0.0024119238,0.06558372,0.025476137,0.06911098,0.04995023,0.04430054,0.044878677,0.017302778,0.028602025,0.028506063
2700062C07Rik,0.016711181,0.008754599,0.05133408,0.09549777,0.08521407,0.0067487345,0.05234141,0.024164267,0.1657843,0.06396555,0.09459818,0.1284855,0.050878566,0.038272254,0.0389494
2700081O15Rik,0.036915928,0.04635163,0.015052459,0.024579927,0.032962587,0.016740358,0.03758356,0.13449928,0.13821673,0.15371929,0.13938943,0.13024709,0.030506633,0.0662929,0.017194968
2700097O09Rik,0.030259518,0.013465311,0.20742276,0.3127809,0.30997688,0.0033609068,0.19056135,0.033072706,0.098084316,0.038306616,0.050255477,0.08786066,0.038538188,0.02860038,0.072186545
2810001G20Rik,0.028108368,0.00967055,0.038063556,0.035809964,0.03270872,0.088968866,0.052065324,0.05697185,0.08499181,0.0678043,0.05967336,0.042129945,0.020597804,0.039331228,0.019821689
2810004N23Rik,0.054710336,0.017294083,0.17223875,0.36378142,0.28610846,0.46012598,0.22548935,0.09430276,0.5026652,0.17245361,0.17825943,0.089847915,0.13618752,0.096577935,0.207943
2810006K23Rik,0.012645082,0.012896374,0.03513874,0.091432795,0.043094862,0.08301257,0.02489771,0.05917043,0.15251343,0.06224766,0.07735834,0.099132545,0.038096875,0.040821236,0.07526691
2810402E24Rik,0.029977316,0.01843498,0.025960617,0.087743066,0.04438644,0.008928224,0.033167627,0.041633062,0.08594515,0.05471305,0.03854022,0.024168413,0.028614733,0.020209808,0.0500707
2810459M11Rik,0.18027617,0.03713878,0.0011874463,0.013835539,0.0069293543,0.0038277942,0.014314265,0.00017331167,0.004548141,0.0051823542,0.00016488404,0.60708535,0.00081410824,0.0006001533,0.12250498
2900026A02Rik,0.029522765,0.05418142,0.016187537,0.067309715,0.039231375,0.13881685,0.116495,0.22636442,0.099790275,0.35576582,0.03139786,0.024634942,0.026515407,0.066661455,0.039468348
2900060B14Rik,0.03075263,0.008783685,0.046256624,0.1548546,0.068069175,0.0019305354,0.04995282,0.03666635,0.04856238,0.052197948,0.03208208,0.12807488,0.027799128,0.028958565,0.009968663
2900076A07Rik,0.011136555,0.006318242,0.0685523,0.09115558,0.07313367,0.0026976878,0.05590764,0.03073414,0.08165602,0.07053678,0.06943488,0.08675968,0.01504601,0.02935239,0.05643709
2900089D17Rik,0.012312574,0.00981212,0.08352645,0.08601728,0.111456126,0.005555256,0.08319196,0.0061480296,0.036647208,0.011625325,0.019053424,0.025381403,0.049970392,0.0066669243,0.0057367207
2900093K20Rik,0.03684639,0.019069534,0.021539714,0.06571793,0.026979256,0.0039652823,0.021232538,0.025529023,0.0366389,0.028262366,0.023309298,0.020767141,0.04118598,0.0178198,0.034868687
3110009E18Rik,0.028705128,0.011619453,0.037206154,0.024089346,0.043614727,0.008780939,0.03521537,0.016455488,0.1377514,0.025622595,0.049502943,0.02413353,0.029244717,0.023229836,0.031176934
3110040N11Rik,0.009319949,0.0060683573,0.042185906,0.06559021,0.050465655,0.094806135,0.04441757,0.042873673,0.26706406,0.09371112,0.08972506,0.05359824,0.064683914,0.02107239,0.05950572
3110056K07Rik,0.030399771,0.0036618232,0.21678282,0.33339244,0.27314687,0.002145077,0.23774144,0.013283554,0.03850839,0.020543488,0.020825468,0.022093605,0.02176302,0.01620951,0.01013477
3110082I17Rik,0.04316492,0.005835262,0.18263254,0.4324143,0.24824661,0.0024744545,0.2754863,0.0582168,0.17390198,0.068889655,0.05052212,0.02255074,0.09751045,0.031311866,0.05736385
3300002A11Rik,0.01562449,0.004669541,0.0049811155,0.02368767,0.006383872,0.0034908382,0.044643953,0.00011377667,0.0039896728,0.002793251,0.00022678672,0.29361984,0.0003727794,0.00040968697,0.011705708
3300005D01Rik,0.014391097,0.0088853855,0.00049130747,0.0029891785,0.005191821,0.008035178,0.020513615,0.0027051088,0.061810743,0.0164995,0.0072708577,0.07401746,0.014073592,0.0011118276,0.01234212
3425401B19Rik,0.0067497776,0.0033152043,0.14643289,0.21508308,0.17299776,0.12011606,0.07822294,0.00059120153,0.0039218054,0.001728282,0.00064662576,0.024303408,0.0005318513,0.0005782325,0.006050553
3830403N18Rik,0.020386396,0.0071202265,0.009065654,0.025277905,0.01185681,0.02707237,0.007737289,0.014865505,0.032622743,0.028739758,0.021350835,0.1714123,0.011514701,0.0054772357,0.027784271
3830406C13Rik,0.041333236,0.038331993,0.063923694,0.17007834,0.08889659,0.02467763,0.10576131,0.09737929,0.27780962,0.16029501,0.15229335,0.15112017,0.16721003,0.09805478,0.12148217
4430402I18Rik,0.017731596,0.006061838,0.17241108,0.23024738,0.24007818,0.004088656,0.099270724,0.0073552746,0.016789597,0.0044769384,0.009671959,0.030683124,0.0037460919,0.018520912,0.016288795
4732440D04Rik,0.054999597,0.0059927194,0.10847034,0.12104541,0.14015938,0.002131805,0.091265246,0.013398719,0.02816088,0.024484813,0.017600244,0.043248527,0.023552375,0.008472863,0.046251066
4732463B04Rik,0.006158976,0.0032175535,0.29500914,0.489258,0.26766753,0.002708241,0.038301624,0.0035736316,0.013423647,0.0029880276,0.0053872773,0.02652888,0.0017015666,0.0014176092,0.011805694
4732471J01Rik,0.006873507,0.00954205,0.0943839,0.21898575,0.12811796,0.0024645987,0.07873477,0.0051806187,0.023043688,0.011160969,0.009295833,0.025195945,0.00097219966,0.0053509334,0.010865106
4732491K20Rik,0.013215776,0.0033128306,0.1239222,0.17680973,0.10713234,0.00899514,0.09778164,0.008448495,0.01903093,0.010716004,0.0077449065,0.024439763,0.0032606178,0.0032030921,0.016615955
4833420G17Rik,0.16350354,0.04429798,0.012288838,0.16972025,0.057874132,0.0041352757,0.018354643,0.102247626,0.26044834,0.15354319,0.13338512,0.12945102,0.096135065,0.05997774,0.1529156
4833439L19Rik,0.029681126,0.045904256,0.1533327,0.17059344,0.15360522,0.27886766,0.13504219,0.17276698,0.28719708,0.19702862,0.18730265,0.1783982,0.11512439,0.12406321,0.06989375
4921511C10Rik,0.006475922,0.0035377748,0.011810992,0.20899872,0.028040586,0.00215959,0.040938288,0.013690921,0.013949774,0.0075213844,0.00890319,0.04782624,0.0017715369,0.019457534,0.011131378
4921524J17Rik,0.24856831,0.023733819,0.20242743,0.3685175,0.23747313,0.3481267,0.22184336,0.23079325,0.4754059,0.32047608,0.28049034,0.23123561,0.114196576,0.20158982,0.22958702
4930402H24Rik,0.023480779,0.07855735,1.3324937,2.2727127,1.826321,0.007844505,1.0602986,0.36497572,0.19193318,0.39401236,0.13264112,0.17287385,0.05078944,0.11302337,0.06786111
4930403P22Rik,0.033351447,0.026796177,0.07227871,0.14493161,0.07584115,0.0040952,0.071605325,0.06508906,0.04725155,0.0373408,0.06671894,0.09053623,0.015086835,0.03859497,0.018287262
4930408O17Rik,0.47316173,0.18741466,0.0008325011,0.011383412,0.003388443,0.0026485433,0.003753631,0.0002631897,0.0067201275,0.006611423,0.0002191624,0.61919326,0.0004869034,0.00052817655,0.29870918
4930438A08Rik,0.008311936,0.0036071662,0.00042329973,0.0031106072,0.0016504088,0.0012423279,0.0017406387,0.00041590875,0.0012451297,0.0013670878,0.00029760125,0.07312943,0.03029993,0.0004295605,0.020328654
4930452B06Rik,0.0071312645,0.0037884195,0.031365212,0.58214825,0.06796713,0.0064388635,0.00876399,0.026122706,0.015670009,0.035804782,0.008079424,0.03178768,0.002742968,0.00643815,0.011812128
4930453N24Rik,0.042333145,0.017062422,0.09234812,0.16037588,0.12547679,0.15240374,0.107859775,0.06767169,0.27531022,0.14461899,0.21973038,0.20116211,0.17650878,0.06658683,0.10986664
4930455G09Rik,0.0064017796,0.0066161416,0.0059892,0.004241966,0.0023035295,0.019126518,0.017033648,0.000801251,0.017531294,0.0031924986,0.0013337967,0.04011368,0.06384131,0.0012632237,0.0068830177
4930471C06Rik,0.01415697,0.0053038704,0.00023432192,0.0033261552,0.0015763731,0.0014974744,0.001889549,0.00012794274,0.088572495,0.0016062143,0.0024916104,0.27074713,0.0027444637,0.001064529,0.01070721
4930502E18Rik,0.01266563,0.0049335593,0.00037448428,0.0035316232,0.001498119,0.0023839327,0.0017209565,0.00016643063,0.021321446,0.0014625839,0.0001920102,0.16226111,0.001430911,0.0003127361,0.01928534
4930512H18Rik,0.006904803,0.0033494201,2.9436562,5.051165,4.157768,0.0048315288,2.1821353,0.00021795895,0.0018219572,0.0024779087,0.00030049958,0.021496546,0.0005943125,0.0006683421,0.0056912485
4930519L02Rik,0.015620202,0.0051009846,0.00040342496,0.0059989537,0.0029588419,0.0015242856,0.0017512536,0.000118563476,0.0013590411,0.0016521707,0.00019048668,0.16996263,0.00053639576,0.00032377007,0.06876856
4930523C07Rik,0.25363517,0.084333,0.083721496,0.4024428,0.1299802,0.08566615,0.30825046,0.30503982,0.10920881,0.15430501,0.1447526,0.021580208,0.077907264,0.35150874,0.18873793
4930533I22Rik,0.2261158,0.040603276,0.0011711026,0.005540967,0.0030506505,0.0019936871,0.0053696567,0.00011861848,0.0029765859,0.0057755327,0.00012798343,0.5866689,0.0006630139,0.00048910594,0.15781043
4930550L24Rik,0.17330605,0.04240305,0.00069656066,0.0057606404,0.0043907156,0.0015627391,0.0021881103,0.00021118327,0.0026365973,0.002570951,0.00011823994,0.5086781,0.0007448901,0.0003871441,0.08245476
4930556J24Rik,0.006792763,0.0037343532,0.0023045754,0.066609606,0.014971159,0.0024348514,0.10239023,0.00012816861,0.0033184348,0.0025154925,0.00015807133,0.030724939,0.00039938287,0.0003403014,0.0056550684
4930556N13Rik,0.006313378,0.0031906161,0.36614916,0.5634414,0.40811092,0.0019645821,0.19200441,0.0004926556,0.0026692168,0.002491154,0.00022694688,0.022079386,0.00037282732,0.001609114,0.0053588096
4930579G24Rik,0.055308614,0.01514691,0.00521636,0.054665573,0.018317832,0.055101983,0.0032820508,0.022294177,0.08736057,0.023481995,0.078003995,0.028126637,0.017759357,0.04627845,0.026264114
4930590L20Rik,0.010808004,0.00515642,0.00042394566,0.009059172,0.0031478715,0.0020937377,0.004405637,0.00010179948,0.0023873618,0.23970997,0.042671103,0.14196317,0.00032625723,0.00037408771,0.008696813
4930597A21Rik,0.2677688,0.0048772474,0.00031274455,0.0034390632,0.0028086656,0.0013412237,0.0017861767,0.00033304872,0.0045616655,0.0015713584,0.00044760265,0.18736663,0.0026959428,0.0007597431,0.0103336545
