,B Cells,Blood Cells,CM1,CM2,CM3,CM4,CM5,EC,EPI,EndoEC,FB,Glial,Macrophage,Pericyte/SMC,T cells
Mpp5,0.025159132,0.044084888,0.15340504,0.21291219,0.23524082,0.007369419,0.7262924,0.10514494,0.34850892,0.12239728,0.10329016,0.13120066,0.08627177,0.050187446,0.073391885
Mpp6,0.06952933,0.015454531,0.20106553,0.5128547,0.2628097,0.048866626,0.66395575,0.049887918,0.25192297,0.08274052,0.107410975,0.05003167,0.19406289,0.06345186,0.24222693
Mpp7,0.017837666,0.003856121,0.25761768,0.71425337,0.3326178,0.0029342265,0.49873734,0.019565111,0.07094149,0.047996543,0.026756842,0.023264207,0.03774316,0.03636726,0.056516334
Mpped2,0.012171092,0.006283082,0.47632104,0.75301456,0.4391659,0.0041784737,0.009181308,0.01333702,0.050531622,0.01664265,0.21060367,0.04673022,0.011160425,0.034550123,0.029374216
Mprip,0.096659824,0.16708347,0.10125956,0.48605517,0.21850394,0.18644015,0.43416268,0.5287785,0.83167267,0.48905018,0.5487908,0.07957715,0.14513876,0.8197713,0.14229192
Mpst,0.017105367,0.009682468,0.014548217,0.028275568,0.023319298,0.07501551,0.0092870835,0.048634764,0.2467613,0.063333794,0.10210511,0.23104651,0.013133658,0.011432511,0.06355227
Mpv17,0.043074384,0.034439944,0.21126,0.20180865,0.22676942,0.33130905,0.24743365,0.15502363,0.3926231,0.20301439,0.23578572,0.116062574,0.12548007,0.12384792,0.09744105
Mpv17l2,0.028460577,0.00871614,0.056259137,0.16127622,0.06748601,0.24106559,0.06352469,0.08816994,0.57528853,0.120663874,0.15272938,0.11801583,0.16132978,0.09329882,0.15825705
Mpz,0.11449801,0.018756483,0.00029218558,0.0044889264,0.0028716316,0.040566526,0.0046623223,0.00042446554,0.004323283,0.0018132555,0.00025183478,1.0597787,0.0024801912,0.0006580807,0.114284016
Mpzl1,0.10055358,0.23209071,0.18141457,0.39336997,0.2634833,0.14784703,0.19568901,0.7975439,1.1417407,0.7624021,0.9445546,0.12774228,0.19794214,0.3068054,0.13699088
Mpzl2,0.0060505513,0.008349243,0.0029103765,0.011781624,0.0054912376,0.0053290976,0.012017616,0.0012621651,1.1324486,0.1866395,0.021224687,0.023756064,0.012275402,0.0031475862,0.020825101
Mrap,0.012459438,0.0056860126,0.035777465,0.06188216,0.05556045,0.13120884,0.039804373,0.009449064,0.04181448,0.12955436,0.05090747,0.034294013,0.017957428,0.029316476,0.011231954
Mrap2,0.0066882814,0.0032352062,0.25835523,0.1989524,0.24040937,0.0022100057,0.17547533,0.00030807123,0.055566356,0.0039992537,0.018653834,0.021936722,0.0031669603,0.0012145527,0.011384585
Mras,0.0073268386,0.01204666,0.016706333,0.037541725,0.017898789,0.025313186,0.012590979,0.03258288,0.46707425,0.044951003,0.047793105,0.025175206,0.018201878,0.013224745,0.014870365
Mrc1,0.008104514,0.025082948,0.0024795055,0.02178772,0.011924063,0.014386549,0.007738594,0.018086463,0.047445793,0.03882089,0.015619043,0.058740605,2.1431737,0.0063346806,0.017927423
Mrc2,0.017537538,0.013522884,0.0012084303,0.04461345,0.008635809,0.0062630884,0.019726982,0.013994143,0.3614414,0.018757505,0.5371922,0.022610247,0.02930469,0.06997345,0.02766756
Mre11a,0.042056724,0.012497783,0.013875909,0.24046984,0.045374192,0.0033181633,0.024835046,0.032568663,0.20438041,0.05719589,0.0594548,0.04295526,0.051630724,0.025946226,0.10774082
Mrfap1,0.03739803,0.019476285,0.40123835,0.5784039,0.45455426,2.3154976,0.50568795,0.7801037,4.3849444,1.2105294,1.7903603,0.6820474,0.6976647,0.6098621,0.30492824
Mrgbp,0.02937898,0.01511615,0.07372723,0.19008997,0.08377455,0.047386788,0.14731799,0.064591795,0.1947718,0.074632354,0.056384526,0.039292578,0.04180814,0.03342371,0.10760094
Mrgpra2a,0.0227598,0.004390176,0.0013465293,0.003392117,0.0014505836,0.0013315793,0.0017878951,0.0008163612,0.0067137764,0.0037512144,0.0016999977,0.059405584,0.114943154,0.0014571393,0.042367227
Mrgpra2b,0.030319689,0.013924037,0.007746588,0.027966574,0.005738593,0.0018172915,0.0067224847,0.0013003068,0.017483054,0.010529508,0.006646686,0.06342694,0.19492628,0.0025489063,0.032572016
Mrgpra4,0.020123484,0.0060008103,0.00023389798,0.0034460002,0.0017088419,0.001259436,0.001768276,0.000103233506,0.0017060429,0.0015494407,0.00016300834,0.25417337,0.006764912,0.00029092064,0.01647653
Mrgprf,0.007241025,0.0071019144,0.0008083127,0.0050317557,0.003078857,0.0018607624,0.00173702,0.0019163187,0.31119016,0.0042972825,0.09004563,0.10039456,0.006818102,0.058949415,0.0054321745
Mri1,0.03223984,0.014249051,0.04193497,0.078516275,0.048095044,0.06340988,0.041264318,0.047628876,0.27476618,0.07702011,0.11761739,0.050530568,0.07720597,0.038131237,0.17530404
Mrm1,0.016152935,0.024965568,0.07905507,0.098885775,0.093364105,0.041467812,0.045575846,0.015607628,0.059232563,0.03457547,0.033823114,0.02289743,0.02890881,0.012148363,0.043029245
Mroh1,0.02971449,0.0034553488,0.20512636,0.25922516,0.24548121,0.01195413,0.23360668,0.030412087,0.16228697,0.046642374,0.03558964,0.0659147,0.10708399,0.02822072,0.017174887
Mroh5,0.0065412847,0.003587634,0.011286249,0.032735743,0.038324,0.5023877,0.0096491845,0.009185147,0.0037653255,0.004623716,0.007696187,0.021988519,0.0007329021,0.016539568,0.011248276
Mrpl1,0.035775613,0.006157884,0.1434861,0.31409356,0.17466986,0.14939497,0.109931,0.045740902,0.16968523,0.062415916,0.06703005,0.06867784,0.10304951,0.03643436,0.108473346
Mrpl10,0.02093529,0.032809593,0.106127314,0.13896717,0.13217263,0.20560016,0.14470448,0.10835841,0.35278293,0.12029025,0.16390368,0.15080753,0.12485493,0.08875758,0.069998294
Mrpl11,0.03825597,0.030694166,0.12972952,0.16239981,0.14593694,0.64685667,0.09222625,0.1687941,0.51879776,0.2449834,0.22039565,0.045997955,0.23818652,0.127793,0.25762257
Mrpl12,0.2084198,0.13196453,0.4147282,0.6628375,0.55950654,2.656882,0.40398845,0.43412775,1.5851663,0.5885549,0.6118089,0.3407878,0.67586184,0.381983,0.6808197
Mrpl13,0.01799281,0.014557817,0.16589588,0.2447237,0.21107927,0.61575264,0.1634923,0.17054018,0.67710614,0.262229,0.33109573,0.096856326,0.22953178,0.19803993,0.2727157
Mrpl14,0.02455401,0.02659936,0.25356498,0.4470869,0.34623545,1.0961362,0.17758113,0.256558,1.262906,0.41334298,0.49420056,0.111172065,0.43215927,0.21936215,0.39335132
Mrpl15,0.13994598,0.048250396,0.424909,0.62781847,0.52907735,1.0627515,0.34345856,0.22521402,0.76350355,0.29441422,0.33797836,0.14846987,0.3213411,0.2099284,0.4356952
Mrpl16,0.06297435,0.012016372,0.05646958,0.0698633,0.07436299,0.378291,0.062987864,0.07579315,0.29956484,0.082309105,0.10850389,0.11123018,0.14131469,0.053392954,0.15460232
Mrpl17,0.017757017,0.011732168,0.10670496,0.1355435,0.13779029,0.56523854,0.14218214,0.35159948,1.5298365,0.36411697,0.46232554,0.34035122,0.3058277,0.09059034,0.053195316
Mrpl18,0.12394427,0.05015129,0.29919246,0.5709925,0.41792932,1.3886763,0.21233605,0.30072296,1.1412404,0.3580999,0.5142817,0.17722261,0.43221417,0.32882705,0.49852195
Mrpl19,0.06521903,0.02063527,0.096029885,0.14464684,0.13006593,0.27159324,0.114609845,0.07519171,0.2931505,0.12626858,0.11546044,0.100843094,0.12427891,0.058515437,0.17575662
Mrpl2,0.013903621,0.006431906,0.00021755567,0.0035411003,0.0014530449,0.0011228584,0.0018181894,0.0018892707,0.2985404,0.010527587,0.02073283,0.054699097,0.02659062,0.001294621,0.074703954
Mrpl20,0.04219257,0.014109583,0.22075775,0.26399714,0.26709068,0.9969971,0.28667518,0.3052318,1.1846685,0.4781196,0.48353946,0.09279037,0.5226622,0.23656218,0.38901967
Mrpl21,0.08696965,0.011842839,0.22631893,0.29703897,0.26044902,0.7667445,0.21094868,0.20060295,0.83520645,0.2995886,0.39823776,0.28444937,0.3315459,0.18374874,0.48140562
Mrpl22,0.033660933,0.014710399,0.087937094,0.118995175,0.101636864,0.33867627,0.068696916,0.07557446,0.4132173,0.1494576,0.14760101,0.11633148,0.112912565,0.06576392,0.15516302
Mrpl23,0.23020603,0.019831862,0.3670818,0.46865797,0.46702102,1.4290323,0.29325306,0.37651637,1.2186037,0.39001587,0.4829627,0.40434167,0.7960728,0.42138776,0.8200573
Mrpl24,0.0948603,0.009837898,0.16456078,0.24413034,0.16930431,0.5543693,0.15994069,0.19416949,0.8058568,0.2844404,0.29133716,0.25613517,0.32433262,0.11265809,0.39308324
Mrpl27,0.045294795,0.0288533,0.1797046,0.28452924,0.21701768,0.6936492,0.14085467,0.20567739,0.65128,0.27457902,0.2973697,0.11526285,0.2734899,0.1832814,0.17346102
Mrpl28,0.044931028,0.034719367,0.25995022,0.3899884,0.29623723,1.1332791,0.18341818,0.2690212,0.9316534,0.4104851,0.3937013,0.2787728,0.477643,0.23836459,0.2930283
Mrpl3,0.04188394,0.024723688,0.15913706,0.19968927,0.16620779,0.37410542,0.15889478,0.1072788,0.43617302,0.1827459,0.19442694,0.07903146,0.2024613,0.09138974,0.15973061
Mrpl30,0.09289201,0.0134113375,0.32373315,0.50182843,0.39502433,1.4079423,0.30142757,0.3162669,1.3902869,0.39774346,0.61359876,0.17537531,0.5147222,0.23295046,0.7896576
Mrpl32,0.21236862,0.038272325,0.17308006,0.24007711,0.18791074,0.69319355,0.1788073,0.17933363,0.6648765,0.32684678,0.31016397,0.16677745,0.29824537,0.13379695,0.5050065
Mrpl33,0.12667072,0.04556739,0.5921124,0.90310466,0.73661375,2.7471397,0.76388526,0.648106,2.9527571,0.805403,1.1654668,0.6680824,1.2700446,0.54472256,0.9338151
Mrpl34,0.097369045,0.07710639,0.26496878,0.35355094,0.33893377,1.5621625,0.21040662,0.32974073,0.86767423,0.40995955,0.30850762,0.34981135,0.3321108,0.17250384,0.46045667
Mrpl35,0.052176055,0.0109274415,0.12896147,0.1819992,0.120296665,0.566584,0.12106511,0.12129851,0.592537,0.20218326,0.23189937,0.12016403,0.24346313,0.08466911,0.27522567
Mrpl36,0.04694262,0.01156715,0.15297605,0.24293208,0.17750995,0.58730805,0.14272103,0.15672106,0.5692522,0.25695458,0.26860833,0.26653442,0.37066168,0.12046392,0.31285146
Mrpl37,0.068168744,0.0395773,0.1162373,0.16422717,0.122381106,0.32526463,0.11620497,0.09238233,0.26429373,0.1339915,0.1269361,0.06300977,0.13407627,0.07364537,0.14236327
Mrpl38,0.10848163,0.0626544,0.18468286,0.29612127,0.24377245,0.3489193,0.25373304,0.17946257,0.53480434,0.24591799,0.20992352,0.17340447,0.15085858,0.13866527,0.30495661
Mrpl39,0.02323538,0.019649751,0.076422684,0.10960569,0.0798002,0.24158977,0.05856385,0.07893044,0.23320393,0.09401927,0.11333977,0.10828926,0.10687409,0.05455398,0.08963645
Mrpl4,0.15562278,0.08247841,0.35553563,0.41781834,0.44038877,0.80418867,0.2669269,0.32136238,0.7599332,0.38427764,0.34345058,0.20725359,0.36788273,0.25463533,0.30826542
Mrpl40,0.043137603,0.020865755,0.12365197,0.17580947,0.18717964,0.5105159,0.14025098,0.13789211,0.7545743,0.18649986,0.24951695,0.16630146,0.22894579,0.08903392,0.22873984
Mrpl41,0.08913655,0.05899285,0.22979543,0.31240523,0.24383515,0.67200696,0.18507001,0.15182683,0.646579,0.19518633,0.21658073,0.16892186,0.22633387,0.15903956,0.21695347
Mrpl42,0.19530135,0.11752802,0.6756327,1.0292021,0.89244974,2.6776123,0.46823767,0.42845616,1.3907696,0.58221453,0.7328534,0.34370562,0.6850041,0.5166013,0.59046793
Mrpl43,0.11947488,0.052228857,0.17545831,0.2736045,0.23324,0.5670708,0.17717876,0.21551381,0.59646606,0.30939066,0.24248439,0.19393028,0.2846353,0.1287921,0.20226854
Mrpl44,0.042311613,0.0053844014,0.019418435,0.07176084,0.022955628,0.27739096,0.020823998,0.053323805,0.19275792,0.10094639,0.049484693,0.110824026,0.049425993,0.042059407,0.032514077
Mrpl45,0.120036334,0.028347949,0.13099848,0.20287475,0.19126156,0.36854595,0.14682974,0.08980027,0.29788607,0.13057514,0.10643847,0.15225002,0.23521759,0.063442856,0.16581169
Mrpl46,0.063158095,0.03735222,0.04266476,0.07588192,0.07641953,0.45207077,0.05776808,0.08196444,0.32226002,0.1305976,0.08108928,0.024782034,0.12303742,0.054959476,0.14440401
Mrpl47,0.02912194,0.013807706,0.13975012,0.22922829,0.13966498,0.1491887,0.113253154,0.050445218,0.22741073,0.06755327,0.086122185,0.1144207,0.06856828,0.04864727,0.11345467
Mrpl48,0.12379587,0.07894403,0.22874106,0.3489469,0.29217222,0.52178836,0.22697352,0.27471536,0.8340544,0.34179205,0.42872015,0.3001732,0.34831232,0.22626635,0.37828574
Mrpl49,0.041383564,0.015865296,0.07208467,0.118546866,0.077547714,0.28007725,0.06280037,0.10611916,0.40201065,0.17340566,0.15404588,0.053486563,0.14104219,0.07494586,0.12649561
Mrpl50,0.044913158,0.01035166,0.064005,0.09799325,0.07758467,0.3862147,0.08207494,0.07612365,0.40692264,0.13018642,0.15091532,0.04998255,0.10742043,0.056821037,0.15282178
Mrpl51,0.118096806,0.09798418,0.308335,0.6130285,0.4229775,1.9539208,0.26239935,0.33191642,1.3159556,0.4337376,0.47673932,0.20060208,0.40495566,0.29603145,0.34809038
Mrpl52,0.033446763,0.0122404955,0.29215142,0.42654425,0.35541618,0.89152783,0.36227232,0.33537006,2.305941,0.52226514,0.8839825,0.32509133,0.6895534,0.35355037,0.3206395
Mrpl54,0.07739381,0.032921065,0.2921874,0.36806232,0.3838684,1.4950083,0.2679676,0.29857284,1.4928284,0.51641136,0.6285529,0.2749488,0.64105886,0.2565514,0.38245004
Mrpl55,0.052121177,0.05188683,0.16631219,0.2974352,0.22924261,0.77511,0.17491777,0.14990672,0.54909533,0.24238488,0.20637791,0.19555867,0.19801241,0.12488676,0.13880648
Mrpl57,0.06865591,0.019020764,0.20325875,0.31255952,0.24242094,0.9553364,0.22526382,0.2861727,0.95211387,0.40239486,0.40300915,0.22899045,0.42226768,0.22603059,0.3287761
Mrpl9,0.12860186,0.00909551,0.0957615,0.13190582,0.12968549,0.3249654,0.09445562,0.10605401,0.34309205,0.14368604,0.13086705,0.06913267,0.11964354,0.07217211,0.2147556
Mrps10,0.10909397,0.04038898,0.16726442,0.36067218,0.24758384,0.09658095,0.21171406,0.12761262,0.5065265,0.23328435,0.24825564,0.12888853,0.21767192,0.11300118,0.23158346
Mrps11,0.019126242,0.01510172,0.082590535,0.15229593,0.10604656,0.37910092,0.08350841,0.13860959,0.4748522,0.16850676,0.20795234,0.12834245,0.15653887,0.08914769,0.130353
